element label,point1,point2,F,sigma,sigma_y,sigma_b,sigma_lim,percent_allowed
B0102A0101,B0102,A0101,-280830.896714024,-199645451.189134,376000000.0,-5221911.60542469,-5221911.60542469,3823.2254062235734
B0002B0101,B0002,B0101,10611474.472875586,378114366.85579896,376000000.0,-79095687.02476934,376000000.0,100.56233161058483
A0002B0102,A0002,B0102,36580.94544655959,26005754.509413928,376000000.0,-5221911.60542469,376000000.0,6.9164240716526395
B0002A0102,B0002,A0102,624832.510010398,111049896.7869027,376000000.0,-20887646.421697937,376000000.0,29.534547017793273
A0003A0103,A0003,A0103,7443507.83968075,265231496.4504991,376000000.0,-158191374.04953867,376000000.0,70.54029160917528
A0103B0103,A0103,B0103,119355.49698514417,84850998.6839795,376000000.0,-15295043.560333427,376000000.0,22.566754969143478
B0103B0003,B0103,B0003,-5820702.958726557,-157033039.7392516,376000000.0,-208936657.77226976,-208936657.77226976,75.15820412443354
A0003B0003,A0003,B0003,0.0,0.0,376000000.0,-15295043.560333427,-15295043.560333427,0.0
A0002A0003,A0002,A0003,931077.1663802849,128832339.4041292,376000000.0,-40737186.09962815,376000000.0,34.263920054289684
A0102A0103,A0102,A0103,3406667.387300161,269092600.86048806,376000000.0,-71360555.23508514,376000000.0,71.56718107991705
B0002B0003,B0002,B0003,5367627.450347104,330095089.5958051,376000000.0,-91658668.72418213,376000000.0,87.7912472329269
B0102B0103,B0102,B0103,-6455755.948986101,-174165730.09694254,376000000.0,-208936657.77226976,-208936657.77226976,83.3581488064073
B0003A0002,B0003,A0002,-1319372.7595495845,-47012674.52502201,376000000.0,-104182938.65222512,-104182938.65222512,45.12511850136598
B0103A0102,B0103,A0102,-3360304.717980826,-119736375.38587621,376000000.0,-104182938.65222512,-104182938.65222512,114.92896719449458
B0003B0102,B0003,B0102,4922504.969820296,783832914.7987326,376000000.0,-177791819.61786956,376000000.0,208.4662007443438
A0003B0103,A0003,B0103,5104710.995015585,234565527.41076165,376000000.0,-80788774.65992214,376000000.0,62.38444877945789
B0003A0103,B0003,A0103,-4979478.231446497,-134338173.33474585,376000000.0,-137603172.9269426,-137603172.9269426,97.62723524265662
A0004A0104,A0004,A0104,3738748.4887223155,171798464.58881864,376000000.0,-122669675.44362582,376000000.0,45.69108100766453
A0104B0104,A0104,B0104,-767288.8748051713,-232006568.19952667,376000000.0,-35960346.85962748,-35960346.85962748,645.1733324630399
B0104B0004,B0104,B0004,-2910572.2325124326,-103711240.10123327,376000000.0,-158191374.04953867,-158191374.04953867,65.56061651550951
A0004B0004,A0004,B0004,-1086232.0386257432,-66800437.51710303,376000000.0,-176810703.55745,-176810703.55745,37.78076562847791
A0003A0004,A0003,A0004,192929.86564605328,34288935.5529031,376000000.0,-31715802.326706156,376000000.0,9.119397753431677
A0103A0104,A0103,A0104,1484525.5722481625,263840963.67350137,376000000.0,-31715802.326706156,376000000.0,70.17046906210143
B0003B0004,B0003,B0004,-9641539.503618265,-1535266304.1687336,376000000.0,-355583639.2357391,-355583639.2357391,431.7595453684267
B0103B0104,B0103,B0104,-6078573.093647268,-163989953.95248428,376000000.0,-208936657.77226976,-208936657.77226976,78.48788034660004
B0004A0003,B0004,A0003,3774969.96847308,134511974.10665336,376000000.0,-104182938.65222512,376000000.0,35.774461198578024
B0104A0103,B0104,A0103,3038242.6424824083,319514293.9309697,376000000.0,-35300122.45266813,376000000.0,84.97720583270471
B0004B0103,B0004,B0103,946529.7282352089,74766367.65658548,376000000.0,-35680277.61754257,376000000.0,19.88467224909188
A0004B0104,A0004,B0104,-7716.280838459864,-5485580.0680120075,376000000.0,-5221911.60542469,-5221911.60542469,105.04927088986742
B0004A0104,B0004,A0104,-1915953.6186485132,-51689293.00622107,376000000.0,-137603172.9269426,-137603172.9269426,37.56402698189552
A0005A0105,A0005,A0105,667961.5457850978,70245627.74887073,376000000.0,-53599705.932131305,376000000.0,18.682347805550727
A0105B0105,A0105,B0105,-1043049.5539562053,-109691450.28358594,376000000.0,-103394494.46784581,-103394494.46784581,106.09022351542943
B0105B0005,B0105,B0005,-1810239.9785633967,-64503547.08963158,376000000.0,-158191374.04953867,-158191374.04953867,40.77564119863569
A0005B0005,A0005,B0005,-649979.3499028004,-51341858.15233595,376000000.0,-137655392.04298824,-137655392.04298824,37.2973825364592
A0004A0005,A0004,A0005,-341121.4167824033,-47200674.371363856,376000000.0,-40737186.09962815,-40737186.09962815,115.86631009792477
A0104A0105,A0104,A0105,96425.27688465043,53369127.48933947,376000000.0,-10184296.524909332,376000000.0,14.193916885462626
B0004B0005,B0004,B0005,-5564805.845421537,-114942786.97795641,376000000.0,-272896859.1311279,-272896859.1311279,42.1194979465579
B0104B0105,B0104,B0105,-3420853.751657642,-121893894.54977386,376000000.0,-158191374.04953867,-158191374.04953867,77.05470369806761
B0005A0004,B0005,A0004,1185723.81956509,124695672.3298198,376000000.0,-35300122.45266813,376000000.0,33.16374264090952
B0105A0104,B0105,A0104,2332227.564223933,245266797.67107177,376000000.0,-35300122.45266813,376000000.0,65.23053129549781
B0005B0104,B0005,B0104,1594516.7388691134,125950850.96285859,376000000.0,-35680277.61754257,376000000.0,33.49756674544111
A0005B0105,A0005,B0105,-70400.50789749988,-50048414.64240026,376000000.0,-5221911.60542469,-5221911.60542469,958.4309046979722
B0005A0105,B0005,A0105,-18677.63674232046,-1148625.9489740634,376000000.0,-60365298.158707924,-60365298.158707924,1.9027918092182399
A0006A0106,A0006,A0106,74119.44255497739,52692241.9289366,376000000.0,-7928950.581676853,376000000.0,14.013894130036327
A0106B0106,A0106,B0106,-542279.5629947541,-57028385.17923503,376000000.0,-103394494.46784581,-103394494.46784581,55.156113942769004
B0106B0006,B0106,B0006,244481.62959029162,173804399.0818873,376000000.0,-7928950.581676853,376000000.0,46.224574223906195
A0006B0006,A0006,B0006,-375599.89389607613,-51971431.32474827,376000000.0,-78582534.91440612,-78582534.91440612,66.1361094820328
A0005A0006,A0005,A0006,-353355.87361610285,-37160380.44037287,376000000.0,-53599705.932131305,-53599705.932131305,69.32944835075375
