point label,mass,ux,uy,uz,Rx,Ry,Rz
B0005,29723.381660531973,-1.1822139803789042,0.0,-0.38504878793422764,0.0,697903.9234271348,2.3283064365386963e-10
A0105,11284.262263995433,-1.2055439761996705,0.016390646474736502,-0.18047223995977285,-4.94765117764473e-09,-7.450580596923828e-09,4.889443516731262e-09
B0105,30521.894329989784,-1.187115812552028,-0.015050827654247366,-0.49646704980212997,-1.4901161193847656e-08,0.0,-3.504101186990738e-08
A0006,3249.133396136964,-1.8366719894928125,0.0,-0.011683494493727844,-1.9848812371492386e-08,-43123.92481803708,-8.731149137020111e-10
B0006,11553.210153626233,-1.8279407890302548,0.0,-0.4079698456044793,0.0,-2212916.409395201,4.307366907596588e-09
A0106,4192.44769755624,-1.7765663186360374,0.012294856450085205,-0.18937007077514606,-1.9848812371492386e-08,3.055902197957039e-10,-2.0954757928848267e-09
B0106,11424.45837469794,-1.766985549925926,0.0405543597857737,-0.515559983372722,2.9802322387695312e-08,-3.725290298461914e-09,-4.6566128730773926e-09
A0200,7463.1863781854045,-0.24266590785910183,0.05843946187271331,-0.514034508516985,0.0,2.3283064365386963e-09,4.598405212163925e-09
B0200,21575.0542171104,-0.24697848155921692,-0.08050168021342508,-0.4685586501787121,-9.313225746154785e-10,-5.587935447692871e-09,1.6763806343078613e-08
A0201,9743.068580350666,-0.2818063584906994,0.0691600241165113,-0.516073576695536,6.402842700481415e-10,-2.7939677238464355e-09,-1.1350493878126144e-08
B0201,35107.923290953906,-0.28456363605826834,-0.06249330723844991,-0.5008562942349469,3.725290298461914e-09,0.0,-8.498318493366241e-09
A0202,8886.288593810976,-0.27019257119436385,0.0742725487277025,-0.4541132877349541,6.402842700481415e-10,1.862645149230957e-09,2.7939677238464355e-09
B0202,32030.604974327023,-0.2867667976689136,-0.052735698669189125,-0.5319240227880544,1.862645149230957e-09,7.450580596923828e-09,5.4249539971351624e-08
A0203,11871.73906289376,-0.401530968554823,0.1088042694811229,-0.3958364159650163,6.2282197177410126e-09,-7.450580596923828e-09,-1.2223608791828156e-09
B0203,28576.989984192303,-0.4079254858327301,-0.0558453635802055,-0.5668788692019654,-3.725290298461914e-09,-1.1175870895385742e-08,-1.816079020500183e-08
A0204,13133.347248482673,-0.7937188207066196,0.08937616273732768,-0.34738903943503574,-1.9848812371492386e-08,0.0,6.111804395914078e-09
B0204,25137.94855842898,-0.7865586222563161,-0.03882374790054888,-0.596126299958385,1.4901161193847656e-08,0.0,2.264278009533882e-08
A0205,10554.895179968264,-1.2800066305961038,0.042634528083923165,-0.3530845282491265,-4.94765117764473e-09,0.0,5.005858838558197e-09
B0205,21277.96377178908,-1.268702517527259,-0.02288868206792348,-0.6201524589376445,0.0,3.725290298461914e-09,-1.57160684466362e-08
A0206,5198.748439457975,-1.7672935728293597,0.03698824437608513,-0.3622245965905284,-1.9848812371492386e-08,-7.450580596923828e-09,-1.4551915228366852e-09
